,Employee Name,Company,Position,Salary,Location,Openings,Applied?
Job 1,,Microsoft,Web Developer,80000.0,"Seattle, WA",True,Yes
Job 2,Steve,Apple,Software Engineer,100000.0,"Palo Alto, CA",False,No
Job 3,Miller,Google,IOS App Developer,110000.0,"Richardson, TX",False,No
Job 4,,PNC,Software Engineer,75000.0,"Pittsburg, PA",True,Yes
Job 5,,Microsoft,Web Developer,82000.0,"Baltimore, MD",True,No
Job 6,,eBay,IOS App Developer,90000.0,"Germantown, MD",True,No
Job 7,,Microsoft,Software Engineer,85000.0,"Seattle, WA",True,No
Job 8,,Microsoft,IOS App Developer,88000.0,"Seattle, WA",True,No
Job 9,,Apple,Web Developer,100000.0,"Palo Alto, CA",True,No
Job 10,,Apple,IOS App Developer,95000.0,"Palo Alto, CA",True,No
Job 11,,PNC,IOS App Developer,83000.0,"Pittsburg, PA",True,Yes
